ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Sale price,Regular price,Categories,Tags,Images,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Stock,Manage stock?,Stock status,Backorders allowed?,Weight (lbs),Length (in),Width (in),Height (in),Tax status,Tax class,Meta: _bw_location
,simple,BW-TV-001,"Samsung 55"" Crystal UHD 4K Smart TV",1,0,visible,"Refurbished Samsung 55"" 4K Smart TV — tested, cleaned, ready.","Experience stunning 4K resolution with Samsung Crystal UHD technology. 55-inch smart TV with HDR, built-in streaming apps.",349.99,699.99,TVs & Displays,,,,Condition,Refurbished,1,1,8,1,instock,0,35,49,28,4,taxable,,Both Locations
,simple,BW-PC-001,"Dell Latitude 5520 — i5, 16GB, 256GB SSD",1,0,visible,"Refurbished Dell Latitude 5520 business laptop. Fast and reliable.","Powerful business laptop: Intel i5-1145G7, 16GB DDR4, 256GB NVMe SSD, 15.6"" FHD, Windows 11 Pro.",349.99,599.99,Computers & Laptops,,,,Condition,Refurbished,1,1,12,1,instock,0,4.2,14,9.5,0.75,taxable,,Renaissance Pkwy
,simple,BW-AP-001,"LG 4.5 Cu Ft Front Load Washer",1,0,visible,"Open box LG 4.5 cu ft front load washer. Unused, with warranty.","LG front-load washer, 4.5 cu ft. TurboWash, 6Motion, SmartThinQ WiFi. Energy Star. Opened, never used.",499.99,899.99,Appliances,,,,Condition,Open Box,1,1,3,1,instock,0,195,27,30,39,taxable,,Emery Rd
,simple,BW-FR-001,"Adjustable Standing Desk 48"" x 24"" Electric",1,0,visible,"Brand new 48"" electric standing desk with programmable presets.","Electric sit-stand desk with programmable height presets. Steel frame, cable tray, anti-collision. 154 lb capacity.",,299.99,Furniture,,,,Condition,New,1,1,15,1,instock,0,65,48,24,2,taxable,,Both Locations
,simple,BW-SE-001,"Apple iPad 9th Gen 64GB WiFi",1,0,visible,"Refurbished iPad 9th Gen 64GB. Battery health 95%+.","Apple iPad 9th gen. 10.2"" Retina, A13 Bionic, 64GB. WiFi. Includes charger. Battery health 95%+.",219.99,329.99,Small Electronics,,,,Condition,Refurbished,1,1,6,1,instock,0,1.1,9.8,6.8,0.3,taxable,,Renaissance Pkwy
,simple,BW-HH-001,"Panasonic Inverter Microwave 1.3 Cu Ft",1,0,visible,"Refurbished Panasonic 1100W inverter microwave.","Panasonic inverter microwave, 1.3 cu ft, 1100W. Even cooking, 10 power levels, sensor cooking.",89.99,149.99,Household Goods,,,,Condition,Refurbished,1,1,20,1,instock,0,28,21,18,12,taxable,,Both Locations
,simple,BW-TV-002,"Vizio 32"" D-Series HD Smart TV",1,0,visible,"Refurbished Vizio 32"" Smart TV for small rooms.","Compact 32-inch Vizio smart TV with Chromecast, AirPlay, SmartCast. HD resolution.",99.99,199.99,TVs & Displays,,,,Condition,Refurbished,1,1,5,1,instock,0,10,29,17,3,taxable,,Both Locations
,simple,BW-PC-002,"HP Chromebook 14 — Celeron, 4GB, 32GB",1,0,visible,"Refurbished HP Chromebook 14. Perfect for students.","HP Chromebook 14: Intel Celeron N4020, 4GB RAM, 32GB eMMC. Chrome OS. Up to 10hr battery.",129.99,249.99,Computers & Laptops,,,,Condition,Refurbished,1,1,18,1,instock,0,3.3,13.3,8.9,0.7,taxable,,Both Locations
,simple,BW-AP-002,"Samsung 7.4 Cu Ft Electric Dryer",1,1,visible,"New Samsung 7.4 cu ft electric dryer. Factory sealed.","Samsung electric dryer, 7.4 cu ft. Sensor Dry, 12 cycles, Wrinkle Prevent. New, factory sealed.",599.99,799.99,Appliances,,,,Condition,New,1,1,2,1,instock,0,130,27,29,38,taxable,,Renaissance Pkwy
,simple,BW-SE-002,"JBL Charge 5 Bluetooth Speaker",1,0,visible,"Open box JBL Charge 5. 20hr battery, waterproof.","JBL Charge 5: Pro Sound, deep bass, IP67 waterproof. 20hr playback. Power bank. Open box with accessories.",109.99,179.99,Small Electronics,,,,Condition,Open Box,1,1,7,1,instock,0,1.7,8.7,3.8,3.7,taxable,,Emery Rd
